Time,"p","vorticity:0","vorticity:1","vorticity:2","C:0","C:1","C:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
219,-0.16919492,-6.5128773e-23,-2.3305361e-19,-0.00034431121,1.0312799,-1.953396,0.050000001,1.2176652,0.035220157,-2.7953694e-22,1.03128,-1.95339,0
219,-0.16339371,-8.9097086e-21,3.2227509e-20,-0.00035892148,1.0310751,-2.0000012,0.050000001,1.2118996,0.033832289,4.8114163e-23,1.0310751,-2,0
219,-0.16352206,-3.218713e-21,3.6689987e-20,-0.00035889668,0.99999911,-1.9999996,0.050000001,1.2126859,0.030016951,4.2602679e-23,1,-2,0
219,-0.16929638,4.6699536e-21,-2.2665493e-19,-0.00034430722,0.99999887,-1.9534671,0.050000001,1.2184385,0.03122489,-2.7369417e-22,1,-1.9534646,0
219,-0.16857946,-3.2461634e-20,6.7531196e-19,-0.00035801411,1.1025574,-1.9532275,0.050000001,1.2153325,0.044360496,8.2760395e-22,1.10256,-1.95323,0
219,-0.16272666,-2.9192467e-20,8.1288037e-19,-0.00035390141,1.102358,-1.9999987,0.050000001,1.2095487,0.042599309,9.8287717e-22,1.1023604,-2,0
219,-0.167557,9.6222108e-21,6.6453558e-21,-0.00035916729,1.1738293,-1.9530575,0.050000001,1.2124051,0.053497992,1.5384545e-23,1.17383,-1.95306,0
219,-0.16166672,2.2690409e-20,-3.8749263e-19,-0.00036028284,1.1736337,-1.9999986,0.050000001,1.2066289,0.051344343,-4.6030577e-22,1.1736355,-2,0
219,-0.16610602,-2.9885034e-21,1.5800138e-21,-0.00032588039,1.2450994,-1.9528875,0.050000001,1.208855,0.062586688,-8.6278987e-24,1.2451,-1.95289,0
219,-0.1601963,2.2261426e-21,-1.3803005e-19,-0.00035680932,1.2449079,-1.9999987,0.050000001,1.2031178,0.06002406,-1.767325e-22,1.2449107,-2,0
219,-0.16420819,1.6818218e-20,-2.1956015e-19,-0.00031476136,1.3163654,-1.9527155,0.050000001,1.2046549,0.071574673,-2.9197608e-22,1.31637,-1.95272,0
219,-0.15830016,1.0359031e-20,-2.1450935e-19,-0.00035227428,1.3161781,-1.9999954,0.050000001,1.1989913,0.068589643,-2.6085262e-22,1.3161801,-2,0
219,-0.1618499,7.2896254e-20,-9.0253346e-19,-0.00033571629,1.3876271,-1.9525417,0.050000001,1.1997877,0.080403991,-1.1090426e-21,1.38763,-1.95254,0
219,-0.15596592,7.5986453e-20,-1.1597833e-18,-0.00035461163,1.3874437,-1.9999989,0.050000001,1.1942343,0.076986559,-1.3574487e-21,1.3874453,-2,0
219,-0.15902038,-1.9160237e-20,2.0874902e-19,-0.00031671673,1.4588956,-1.9523662,0.050000001,1.1942475,0.089012422,2.5135744e-22,1.4589,-1.95237,0
219,-0.15318725,-9.4282822e-21,7.6069268e-20,-0.00033297241,1.4587139,-1.9999983,0.050000001,1.1888477,0.085157752,9.8394741e-23,1.4587147,-2,0
219,-0.155716,-4.523253e-20,4.4512419e-19,-0.00031151596,1.5301577,-1.9521855,0.050000001,1.1880376,0.097333945,4.9258964e-22,1.53016,-1.95219,0
219,-0.14996053,-2.5081674e-20,3.1508713e-19,-0.00031843581,1.5299799,-1.9999979,0.050000001,1.1828325,0.093041733,3.7149063e-22,1.5299799,-2,0
219,-0.15193808,3.9097005e-20,-4.3409027e-19,-0.00030635053,1.6014173,-1.9520078,0.050000001,1.1811602,0.1053,-5.3879755e-22,1.60142,-1.95201,0
219,-0.14628898,3.7009586e-20,-4.3094528e-19,-0.00030982247,1.601244,-1.9999987,0.050000001,1.1761936,0.10057589,-5.0416911e-22,1.6012454,-2,0
219,-0.14769417,1.0858711e-19,-1.0979547e-18,-0.0003006203,1.6726795,-1.9518298,0.050000001,1.1736327,0.1128427,-1.2132731e-21,1.67268,-1.95183,0
219,-0.1421809,8.1038516e-20,-8.3342391e-19,-0.00030787609,1.672509,-1.9999996,0.050000001,1.1689488,0.1076978,-9.114358e-22,1.6725107,-2,0
219,-0.1429988,-5.0910475e-20,4.1455692e-19,-0.00028035766,1.7439417,-1.9516516,0.050000001,1.1654829,0.11989379,4.3854547e-22,1.74394,-1.95165,0
219,-0.1376501,-5.6993009e-20,5.4611146e-19,-0.00029515478,1.7437754,-2.0000005,0.050000001,1.1611261,0.11434516,5.7251874e-22,1.7437762,-2,0
219,-0.1378718,-9.5910733e-20,8.6799153e-19,-0.000259066,1.8152076,-1.9514782,0.050000001,1.1567402,0.12638818,8.9902749e-22,1.81521,-1.95148,0
219,-0.13271628,-1.0245671e-19,1.0013217e-18,-0.0002835849,1.8150445,-1.9999992,0.050000001,1.1527547,0.12045854,1.0217849e-21,1.8150456,-2,0
219,-0.13234025,7.6663041e-20,-6.3686243e-19,-0.00027229902,1.8864694,-1.9512995,0.050000001,1.1474504,0.13226481,-6.8762857e-22,1.88647,-1.9513,0
219,-0.12740366,8.197895e-20,-7.62316e-19,-0.00029258404,1.8863091,-1.9999994,0.050000001,1.1438737,0.12598109,-7.9504436e-22,1.8863112,-2,0
219,-0.12643479,5.076822e-20,-4.3603244e-19,-0.00025345141,1.957733,-1.9511259,0.050000001,1.1376652,0.13746674,-4.2772265e-22,1.9577399,-1.95113,0
219,-0.12174165,7.5164726e-20,-6.9118742e-19,-0.00027210987,1.9575763,-1.9999993,0.050000001,1.1345358,0.13086189,-6.5764388e-22,1.9575806,-2,0
219,-0.12019204,-1.0249512e-19,8.2868458e-19,-0.00021691946,2.0289972,-1.9509518,0.050000001,1.1274405,0.14194468,7.5916889e-22,2.029,-1.95095,0
