Time,"p","vorticity:0","vorticity:1","vorticity:2","C:0","C:1","C:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
169,-0.11821491,-1.2713376e-20,-2.303409e-19,3.2340367e-06,1.0312799,-1.953396,0.050000001,1.2082475,-0.041179959,-1.9638717e-22,1.03128,-1.95339,0
169,-0.11520301,-3.9584583e-21,3.4793957e-20,-2.470875e-05,1.0310751,-2.0000012,0.050000001,1.2051672,-0.039993402,3.4646304e-23,1.0310751,-2,0
169,-0.11524975,-7.1823874e-22,3.6522305e-20,-2.762507e-05,0.99999911,-1.9999996,0.050000001,1.2043773,-0.042023286,3.0954138e-23,1,-2,0
169,-0.11829176,-9.2975836e-21,-2.2614079e-19,-3.648822e-06,0.99999887,-1.9534671,0.050000001,1.2074312,-0.043214228,-1.927119e-22,1,-1.9534646,0
169,-0.11805979,1.3681209e-20,6.7298861e-19,1.6763053e-05,1.1025574,-1.9532275,0.050000001,1.2101574,-0.036472104,5.8377706e-22,1.10256,-1.95323,0
169,-0.11510093,2.3228991e-20,8.0957278e-19,-2.9927467e-05,1.102358,-1.9999987,0.050000001,1.2070049,-0.035262421,6.9487629e-22,1.1023604,-2,0
169,-0.11794303,7.2154722e-21,3.2485606e-21,2.6349917e-05,1.1738293,-1.9530575,0.050000001,1.2121174,-0.031653073,7.2561406e-24,1.17383,-1.95306,0
169,-0.11501976,-4.8992498e-21,-3.9114735e-19,-2.6822232e-05,1.1736337,-1.9999986,0.050000001,1.2088684,-0.030421987,-3.3042268e-22,1.1736355,-2,0
169,-0.11787826,-1.2489218e-21,5.2059803e-21,4.0915864e-05,1.2450994,-1.9528875,0.050000001,1.2141249,-0.02668193,1.8089058e-24,1.2451,-1.95289,0
169,-0.11497183,-5.3637489e-21,-1.3359222e-19,-1.8398954e-05,1.2449079,-1.9999987,0.050000001,1.2107551,-0.025435884,-1.1701098e-22,1.2449107,-2,0
169,-0.11787447,-2.84352e-21,-2.2365733e-19,6.9438633e-05,1.3163654,-1.9527155,0.050000001,1.2161623,-0.02151808,-2.0649131e-22,1.31637,-1.95272,0
169,-0.11496533,-5.5173795e-21,-2.1971584e-19,-6.40496e-06,1.3161781,-1.9999954,0.050000001,1.2126487,-0.020268267,-1.907975e-22,1.3161801,-2,0
169,-0.11793502,-3.5278716e-21,-9.1201408e-19,8.4518222e-05,1.3876271,-1.9525417,0.050000001,1.2182074,-0.016121989,-7.9771412e-22,1.38763,-1.95254,0
169,-0.11500265,-1.3026734e-20,-1.1777553e-18,2.8661002e-06,1.3874437,-1.9999989,0.050000001,1.2145244,-0.014884026,-9.9918309e-22,1.3874453,-2,0
169,-0.11805764,2.9443644e-22,2.2057852e-19,0.00010649205,1.4588956,-1.9523662,0.050000001,1.2202373,-0.010455869,1.9881353e-22,1.4589,-1.95237,0
169,-0.11508225,-1.1300916e-21,8.3716307e-20,2.2038859e-05,1.4587139,-1.9999983,0.050000001,1.2163633,-0.0092507349,8.0455741e-23,1.4587147,-2,0
169,-0.11823417,-6.3008282e-21,4.6011787e-19,0.00013576045,1.5301577,-1.9521855,0.050000001,1.2222123,-0.0044869827,3.8846692e-22,1.53016,-1.95219,0
169,-0.11519614,1.8799255e-21,3.2156352e-19,4.6468715e-05,1.5299799,-1.9999979,0.050000001,1.2181292,-0.0033397411,2.7810992e-22,1.5299799,-2,0
169,-0.11845067,-9.5649503e-22,-4.4881217e-19,0.00015037811,1.6014173,-1.9520078,0.050000001,1.2240924,0.0018131682,-4.0552302e-22,1.60142,-1.95201,0
169,-0.11533218,1.4678607e-22,-4.465001e-19,4.3661701e-05,1.601244,-1.9999987,0.050000001,1.2197821,0.0028730393,-3.8826918e-22,1.6012454,-2,0
169,-0.1186887,1.2678531e-20,-1.1464729e-18,0.00019486617,1.6726795,-1.9518298,0.050000001,1.2258248,0.0084664365,-9.8410411e-22,1.67268,-1.95183,0
169,-0.11547381,8.8544135e-21,-8.7286414e-19,5.6290031e-05,1.672509,-1.9999996,0.050000001,1.2212768,0.0094056847,-7.4969236e-22,1.6725107,-2,0
169,-0.11892524,-1.3768153e-20,4.4563839e-19,0.00021727235,1.7439417,-1.9516516,0.050000001,1.2273499,0.01548731,3.9049077e-22,1.74394,-1.95165,0
