Time,"p","vorticity:0","vorticity:1","vorticity:2","C:0","C:1","C:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
131,-0.15951809,1.0706577e-22,-2.2342952e-19,-0.00029444971,1.0312799,-1.953396,0.050000001,1.1735629,0.037067059,-2.5519534e-22,1.03128,-1.95339,0
131,-0.15375668,-7.9263492e-21,3.0914564e-20,-0.00030339006,1.0310751,-2.0000012,0.050000001,1.1694509,0.033917025,4.0041696e-23,1.0310751,-2,0
131,-0.1551442,-3.1214068e-21,3.6277818e-20,-0.00031183392,0.99999911,-1.9999996,0.050000001,1.1714127,0.031110074,4.4216237e-23,1,-2,0
131,-0.16096394,4.2478006e-21,-2.1734204e-19,-0.00030260114,0.99999887,-1.9534671,0.050000001,1.1756287,0.034088153,-2.4766585e-22,1,-1.9534646,0
131,-0.15568937,-3.120059e-20,6.5069661e-19,-0.00028142735,1.1025574,-1.9532275,0.050000001,1.1683077,0.043483056,7.7294197e-22,1.10256,-1.95323,0
131,-0.15006883,-2.768504e-20,7.8245733e-19,-0.00028465659,1.102358,-1.9999987,0.050000001,1.16444,0.039991271,9.1102454e-22,1.1023604,-2,0
131,-0.15133294,7.8378223e-21,6.4242074e-21,-0.00026200706,1.1738293,-1.9530575,0.050000001,1.1625228,0.049468931,2.0351155e-23,1.17383,-1.95306,0
131,-0.14588262,1.9849755e-20,-3.7310416e-19,-0.00027518059,1.1736337,-1.9999986,0.050000001,1.1589363,0.045647729,-4.1725824e-22,1.1736355,-2,0
131,-0.14646097,-4.4034756e-22,-5.8291772e-22,-0.00024148739,1.2450994,-1.9528875,0.050000001,1.1562353,0.054965407,-3.0598072e-23,1.2451,-1.95289,0
131,-0.14121142,4.0939321e-21,-1.3412705e-19,-0.00026214577,1.2449079,-1.9999987,0.050000001,1.1529675,0.050832596,-1.8090623e-22,1.2449107,-2,0
131,-0.14109236,1.4535302e-20,-2.0936367e-19,-0.00026317587,1.3163654,-1.9527155,0.050000001,1.1494802,0.059915047,-2.4788622e-22,1.31637,-1.95272,0
131,-0.13607387,7.9489609e-21,-2.0617985e-19,-0.00026983171,1.3161781,-1.9999954,0.050000001,1.146566,0.055493515,-2.2192475e-22,1.3161801,-2,0
131,-0.13525207,6.0490477e-20,-8.5860588e-19,-0.00025258091,1.3876271,-1.9525417,0.050000001,1.1423004,0.064262427,-9.4064643e-22,1.38763,-1.95254,0
131,-0.13049325,5.9216244e-20,-1.1069714e-18,-0.00026249621,1.3874437,-1.9999989,0.050000001,1.139776,0.059579223,-1.1435118e-21,1.3874453,-2,0
131,-0.12897031,-1.2853525e-20,1.9876052e-19,-0.00019733976,1.4588956,-1.9523662,0.050000001,1.1347427,0.067955367,1.8655744e-22,1.4589,-1.95237,0
