Time,"p","vorticity:0","vorticity:1","vorticity:2","C:0","C:1","C:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
174,-0.11312499,-1.3451912e-20,-2.2664141e-19,1.1819436e-05,1.0312799,-1.953396,0.050000001,1.1909776,-0.044695068,-1.8467432e-22,1.03128,-1.95339,0
174,-0.11045214,-3.336871e-21,3.4414584e-20,-8.3468422e-06,1.0310751,-2.0000012,0.050000001,1.1887606,-0.04396233,3.107148e-23,1.0310751,-2,0
174,-0.11101171,-6.0463813e-22,3.6356013e-20,-1.4036673e-05,0.99999911,-1.9999996,0.050000001,1.1882901,-0.045452964,3.162041e-23,1,-2,0
174,-0.11375708,-1.0311529e-20,-2.2263419e-19,1.3697873e-05,0.99999887,-1.9534671,0.050000001,1.1905255,-0.046168961,-1.8054209e-22,1,-1.9534646,0
174,-0.11168662,1.6644691e-20,6.6357918e-19,1.4055764e-05,1.1025574,-1.9532275,0.050000001,1.1921325,-0.041424204,5.5675324e-22,1.10256,-1.95323,0
174,-0.10916105,2.6733725e-20,7.9800213e-19,-1.3529871e-05,1.102358,-1.9999987,0.050000001,1.1899418,-0.040613737,6.6034509e-22,1.1023604,-2,0
174,-0.11028586,6.4830769e-21,2.9786671e-21,5.0980307e-05,1.1738293,-1.9530575,0.050000001,1.1934375,-0.038202297,8.3742058e-24,1.17383,-1.95306,0
174,-0.10789394,-7.4459018e-21,-3.8595074e-19,3.3877546e-07,1.1736337,-1.9999986,0.050000001,1.1912494,-0.037300445,-3.1152572e-22,1.1736355,-2,0
174,-0.10895535,-5.7455737e-23,4.7507337e-21,9.1733127e-05,1.2450994,-1.9528875,0.050000001,1.1949074,-0.034985144,-6.0741296e-24,1.2451,-1.95289,0
174,-0.10668103,-4.9928218e-21,-1.3176262e-19,3.1814543e-05,1.2449079,-1.9999987,0.050000001,1.1926954,-0.033982236,-1.1657528e-22,1.2449107,-2,0
174,-0.10772429,-4.9721701e-21,-2.2008603e-19,0.00010936436,1.3163654,-1.9527155,0.050000001,1.1965574,-0.031724658,-1.8603039e-22,1.31637,-1.95272,0
174,-0.10554875,-7.434499e-21,-2.1693093e-19,4.7077054e-05,1.3161781,-1.9999954,0.050000001,1.1942902,-0.030615475,-1.7435125e-22,1.3161801,-2,0
174,-0.10661709,-1.2954258e-20,-8.9647612e-19,0.00013672838,1.3876271,-1.9525417,0.050000001,1.198395,-0.028369656,-7.2299872e-22,1.38763,-1.95254,0
174,-0.10451841,-2.4818696e-20,-1.1597049e-18,4.6741752e-05,1.3874437,-1.9999989,0.050000001,1.196039,-0.027153615,-9.0987404e-22,1.3874453,-2,0
174,-0.10565247,4.0227667e-21,2.1780025e-19,0.00017740026,1.4588956,-1.9523662,0.050000001,1.2004124,-0.024866534,1.7363327e-22,1.4589,-1.95237,0
174,-0.10360776,6.4744685e-22,8.3106183e-20,6.7351182e-05,1.4587139,-1.9999983,0.050000001,1.1979358,-0.023548873,6.9243112e-23,1.4587147,-2,0
174,-0.10484449,1.28378e-21,4.5294094e-19,0.00021358373,1.5301577,-1.9521855,0.050000001,1.2025999,-0.021161882,3.4398776e-22,1.53016,-1.95219,0
174,-0.10282888,5.9104038e-21,3.1596022e-19,8.9356159e-05,1.5299799,-1.9999979,0.050000001,1.1999688,-0.019753069,2.4813629e-22,1.5299799,-2,0
174,-0.10420049,-7.3739161e-21,-4.421665e-19,0.00026622671,1.6014173,-1.9520078,0.050000001,1.2049348,-0.017202578,-3.5761885e-22,1.60142,-1.95201,0
174,-0.10218837,-6.2520605e-21,-4.4044266e-19,0.0001159521,1.601244,-1.9999987,0.050000001,1.202118,-0.015718991,-3.4480237e-22,1.6012454,-2,0
174,-0.10372124,-7.8176912e-21,-1.1292444e-18,0.00035550157,1.6726795,-1.9518298,0.050000001,1.2073848,-0.012938106,-8.6230408e-22,1.67268,-1.95183,0
174,-0.10168689,-7.0294342e-21,-8.5982137e-19,0.00016861067,1.672509,-1.9999996,0.050000001,1.2043538,-0.011401924,-6.5523191e-22,1.6725107,-2,0
174,-0.10340126,-3.3405513e-21,4.4184788e-19,0.00042771449,1.7439417,-1.9516516,0.050000001,1.2099099,-0.0083215237,3.4043266e-22,1.74394,-1.95165,0
174,-0.10131944,1.06614e-21,5.7632537e-19,0.00021820315,1.7437754,-2.0000005,0.050000001,1.206636,-0.0067606149,4.3765963e-22,1.7437762,-2,0
174,-0.10322891,-3.054201e-21,9.0577694e-19,0.0004618105,1.8152076,-1.9514782,0.050000001,1.2124673,-0.0033116585,6.7857502e-22,1.81521,-1.95148,0
174,-0.10107554,7.3987365e-23,1.0439358e-18,0.00022996856,1.8150445,-1.9999992,0.050000001,1.2089232,-0.0017593211,7.7487744e-22,1.8150456,-2,0
174,-0.10318645,2.7555085e-21,-6.7134402e-19,0.00052087288,1.8864694,-1.9512995,0.050000001,1.2149948,0.0021250769,-5.1854642e-22,1.88647,-1.9513,0
174,-0.1009388,-9.652704e-22,-8.0538688e-19,0.00026912641,1.8863091,-1.9999994,0.050000001,1.211163,0.0036312516,-6.1259772e-22,1.8863112,-2,0
174,-0.10324989,4.2423145e-21,-4.5948141e-19,0.00057169003,1.957733,-1.9511259,0.050000001,1.2174298,0.0080149667,-3.3872922e-22,1.9577399,-1.95113,0
174,-0.10088814,5.1181142e-21,-7.3241818e-19,0.00030499662,1.9575763,-1.9999993,0.050000001,1.2132965,0.0094330143,-5.3545177e-22,1.9575806,-2,0
174,-0.10339095,-1.0398503e-20,9.0743574e-19,0.0006175671,2.0289972,-1.9509518,0.050000001,1.2197099,0.014373984,6.9223022e-22,2.029,-1.95095,0
