Time,"p","vorticity:0","vorticity:1","vorticity:2","C:0","C:1","C:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
112,-0.11782087,-1.0661389e-20,-2.2022128e-19,-9.8155891e-05,1.0312799,-1.953396,0.050000001,1.1610578,-0.026903532,-1.8585129e-22,1.03128,-1.95339,0
112,-0.11458375,-3.6924846e-21,3.2869114e-20,-0.00011956252,1.0310751,-2.0000012,0.050000001,1.1594949,-0.028107531,2.8184287e-23,1.0310751,-2,0
112,-0.11610989,-1.0763442e-21,3.6126913e-20,-0.00012156342,0.99999911,-1.9999996,0.050000001,1.1602809,-0.029233931,3.5612059e-23,1,-2,0
112,-0.11947261,-7.6583685e-21,-2.1594134e-19,-9.7421849e-05,0.99999887,-1.9534671,0.050000001,1.1619585,-0.028050154,-1.8004637e-22,1,-1.9534646,0
112,-0.11383073,7.6591068e-21,6.4620756e-19,-6.9097099e-05,1.1025574,-1.9532275,0.050000001,1.1589903,-0.024717808,5.729707e-22,1.10256,-1.95323,0
112,-0.11087023,1.665221e-20,7.7660886e-19,-9.4403171e-05,1.102358,-1.9999987,0.050000001,1.1576819,-0.025916221,6.7402235e-22,1.1023604,-2,0
112,-0.10966102,5.6898535e-21,3.5993177e-21,-3.6467074e-05,1.1738293,-1.9530575,0.050000001,1.1569628,-0.02295929,1.3952884e-23,1.17383,-1.95306,0
112,-0.10698674,-3.6570539e-21,-3.7463162e-19,-8.2714061e-05,1.1736337,-1.9999986,0.050000001,1.1559078,-0.024116347,-3.0982357e-22,1.1736355,-2,0
112,-0.10536077,1.5756464e-21,2.2621526e-21,-1.4737517e-05,1.2450994,-1.9528875,0.050000001,1.1550328,-0.021620883,-2.5499825e-23,1.2451,-1.95289,0
112,-0.10297895,-1.8810598e-21,-1.2998317e-19,-6.2281564e-05,1.2449079,-1.9999987,0.050000001,1.1542253,-0.022699801,-1.3408207e-22,1.2449107,-2,0
112,-0.10098086,-2.4656356e-21,-2.1159285e-19,1.4808331e-05,1.3163654,-1.9527155,0.050000001,1.1532651,-0.020687204,-1.7197548e-22,1.31637,-1.95272,0
112,-0.098894343,-5.9100185e-21,-2.0965558e-19,-4.2428412e-05,1.3161781,-1.9999954,0.050000001,1.1526939,-0.021651046,-1.6123013e-22,1.3161801,-2,0
112,-0.096573703,-5.9832203e-21,-8.6179052e-19,5.8800328e-05,1.3876271,-1.9525417,0.050000001,1.1517177,-0.020134782,-6.6663694e-22,1.38763,-1.95254,0
112,-0.094781175,-1.86962e-20,-1.1167808e-18,-2.6249048e-05,1.3874437,-1.9999989,0.050000001,1.1513662,-0.020947319,-8.3110432e-22,1.3874453,-2,0
112,-0.092191495,4.8641645e-21,2.0771356e-19,0.00011126933,1.4588956,-1.9523662,0.050000001,1.1504451,-0.01993184,1.3554078e-22,1.4589,-1.95237,0
