Time,"p","vorticity:0","vorticity:1","vorticity:2","C:0","C:1","C:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
83,-0.14736384,-7.9248241e-21,-2.3552084e-19,-0.00016986876,1.0312799,-1.953396,0.050000001,1.23043,-0.011297056,-2.4794355e-22,1.03128,-1.95339,0
83,-0.14270903,-6.548898e-21,3.403159e-20,-0.00019507032,1.0310751,-2.0000012,0.050000001,1.2254341,-0.010672736,4.5185473e-23,1.0310751,-2,0
83,-0.14219181,-1.7912301e-21,3.6744452e-20,-0.00018842086,0.99999911,-1.9999996,0.050000001,1.2249461,-0.013941979,3.5533447e-23,1,-2,0
83,-0.14680552,-3.6031479e-21,-2.3012811e-19,-0.00016595169,0.99999887,-1.9534671,0.050000001,1.229877,-0.014664075,-2.4389428e-22,1,-1.9534646,0
83,-0.14848568,-5.6409913e-21,6.8392606e-19,-0.00018045644,1.1025574,-1.9532275,0.050000001,1.2314099,-0.0034147317,7.2698483e-22,1.10256,-1.95323,0
83,-0.14373691,1.5373553e-21,8.2333303e-19,-0.00020984023,1.102358,-1.9999987,0.050000001,1.2262692,-0.0029847512,8.6697878e-22,1.1023604,-2,0
83,-0.14943917,9.0981143e-21,4.9926699e-21,-0.00018238612,1.1738293,-1.9530575,0.050000001,1.2320749,0.0046827998,9.7228787e-24,1.17383,-1.95306,0
83,-0.14458977,7.4503948e-21,-3.9510261e-19,-0.0002083493,1.1736337,-1.9999986,0.050000001,1.2267895,0.0048952186,-4.119567e-22,1.1736355,-2,0
83,-0.15020317,-2.9924888e-21,4.2716762e-21,-0.00016311894,1.2450994,-1.9528875,0.050000001,1.2323899,0.012996029,6.1258686e-24,1.2451,-1.95289,0
83,-0.14524883,-3.0665922e-21,-1.3735245e-19,-0.00019902326,1.2449079,-1.9999987,0.050000001,1.2269619,0.012965502,-1.4492487e-22,1.2449107,-2,0
83,-0.15075262,6.3563022e-21,-2.2557825e-19,-0.00015389995,1.3163654,-1.9527155,0.050000001,1.2323148,0.021518985,-2.6885187e-22,1.31637,-1.95272,0
83,-0.14569183,1.8519792e-21,-2.2042758e-19,-0.00019500653,1.3161781,-1.9999954,0.050000001,1.2267491,0.021218525,-2.4180334e-22,1.3161801,-2,0
83,-0.15106127,3.3541844e-20,-9.2469218e-19,-0.00016268891,1.3876271,-1.9525417,0.050000001,1.231805,0.030238608,-1.0259572e-21,1.38763,-1.95254,0
83,-0.14589468,3.010942e-20,-1.189857e-18,-0.00020148804,1.3874437,-1.9999989,0.050000001,1.22611,0.029640421,-1.2666164e-21,1.3874453,-2,0
83,-0.15110129,-1.0250593e-20,2.1854006e-19,-0.00015128056,1.4588956,-1.9523662,0.050000001,1.2308173,0.039135352,2.5180372e-22,1.4589,-1.95237,0
83,-0.14583413,-5.8404085e-21,8.103935e-20,-0.00019886448,1.4587139,-1.9999983,0.050000001,1.2250109,0.03821123,1.0145909e-22,1.4587147,-2,0
83,-0.15084489,-2.78392e-20,4.6191301e-19,-0.00013232297,1.5301577,-1.9521855,0.050000001,1.2293099,0.048180651,4.8774924e-22,1.53016,-1.95219,0
83,-0.14548436,-1.1752864e-20,3.2497525e-19,-0.00018968945,1.5299799,-1.9999979,0.050000001,1.2234117,0.0469032,3.5528518e-22,1.5299799,-2,0
83,-0.15026392,1.9741008e-20,-4.4965321e-19,-0.00013580677,1.6014173,-1.9520078,0.050000001,1.22724,0.05733889,-5.2111677e-22,1.60142,-1.95201,0
83,-0.14482154,1.9541809e-20,-4.4654601e-19,-0.00018031457,1.601244,-1.9999987,0.050000001,1.2212737,0.05568222,-4.9130343e-22,1.6012454,-2,0
83,-0.149332,6.6933794e-20,-1.145627e-18,-0.00012336866,1.6726795,-1.9518298,0.050000001,1.2245725,0.066567302,-1.22989e-21,1.67268,-1.95183,0
83,-0.14382268,4.9947705e-20,-8.7122498e-19,-0.00015998971,1.672509,-1.9999996,0.050000001,1.2185694,0.064507708,-9.3327672e-22,1.6725107,-2,0
83,-0.14802511,-3.710359e-20,4.3714117e-19,-0.00010497078,1.7439417,-1.9516516,0.050000001,1.2212752,0.075815462,4.7162265e-22,1.74394,-1.95165,0
83,-0.14246702,-3.8667343e-20,5.7344441e-19,-0.00015024489,1.7437754,-2.0000005,0.050000001,1.2152685,0.073332541,6.0450141e-22,1.7437762,-2,0
83,-0.14632265,-6.7009268e-20,9.1134593e-19,-0.00010309723,1.8152076,-1.9514782,0.050000001,1.21732,0.085027531,9.461262e-22,1.81521,-1.95148,0
83,-0.14073755,-6.9857348e-20,1.0500136e-18,-0.00016239847,1.8150445,-1.9999992,0.050000001,1.2113456,0.082104549,1.0715658e-21,1.8150456,-2,0
83,-0.14420959,5.412888e-20,-6.7067328e-19,-8.7223285e-05,1.8864694,-1.9512995,0.050000001,1.2126852,0.094141267,-7.3249196e-22,1.88647,-1.9513,0
83,-0.13862029,5.6434249e-20,-8.022818e-19,-0.00014991152,1.8863091,-1.9999994,0.050000001,1.2067856,0.090765797,-8.5019556e-22,1.8863112,-2,0
83,-0.14167416,3.779805e-20,-4.6090033e-19,-7.5689481e-05,1.957733,-1.9511259,0.050000001,1.2073574,0.10309051,-4.6502e-22,1.9577399,-1.95113,0
83,-0.13610703,5.6063969e-20,-7.2950268e-19,-0.00013261809,1.9575763,-1.9999993,0.050000001,1.2015784,0.099255897,-7.2026358e-22,1.9575806,-2,0
83,-0.13871115,-8.2473461e-20,8.8635525e-19,-8.3775914e-05,2.0289972,-1.9509518,0.050000001,1.2013402,0.11180649,9.0245839e-22,2.029,-1.95095,0
83,-0.13319343,-1.679855e-20,2.0392393e-19,-0.00014050385,2.028846,-1.9999994,0.050000001,1.1957241,0.10751151,2.251638e-22,2.0288463,-2,0
83,-0.13531987,8.3495078e-21,1.1891554e-20,-0.00010499154,2.1002674,-1.9507796,0.050000001,1.1946352,0.12021953,6.4666108e-25,2.10027,-1.95078,0
83,-0.12987952,4.2141618e-20,-4.0259379e-19,-0.00014862842,2.1001194,-2.0000012,0.050000001,1.1892281,0.11546838,-3.845756e-22,2.1001217,-2,0
83,-0.13150722,6.1525384e-20,-6.6822033e-19,-9.4023693e-05,2.1715395,-1.9506115,0.050000001,1.1872554,0.12825881,-6.9520956e-22,2.17154,-1.95061,0
83,-0.12617287,4.6988996e-20,-5.3035212e-19,-0.00014472104,2.1713924,-2.0000005,0.050000001,1.1821057,0.12306198,-5.2225136e-22,2.1713912,-2,0
83,-0.12728532,4.8657235e-20,-4.39035e-19,-8.0875478e-05,2.2428095,-1.9504455,0.050000001,1.1792277,0.13585541,-4.2707061e-22,2.24281,-1.9504499,0
83,-0.12208535,3.1498915e-20,-2.9914674e-19,-0.00012988302,2.2426655,-1.999997,0.050000001,1.1743814,0.13022961,-2.6992303e-22,2.242667,-2,0
83,-0.12267251,1.0533923e-19,-8.776042e-19,-7.7925324e-05,2.3140814,-1.9502792,0.050000001,1.1705854,0.14294501,-8.4894277e-22,2.31408,-1.95028,0
83,-0.11763305,6.5838801e-20,-6.0371394e-19,-0.00012122179,2.3139405,-1.9999985,0.050000001,1.1660845,0.13691112,-5.6391135e-22,2.3139429,-2,0
83,-0.11769162,3.0338064e-20,-2.2343914e-19,-7.4418822e-05,2.3853595,-1.9501178,0.050000001,1.1613678,0.14946549,-2.3802094e-22,2.38536,-1.95012,0
83,-0.11283805,-7.8421553e-21,5.0762339e-20,-0.00011843949,2.3852208,-1.9999992,0.050000001,1.1572528,0.14305077,3.2237328e-23,2.3852224,-2,0
83,-0.11237156,8.3847395e-20,-6.4401325e-19,-6.7892492e-05,2.45664,-1.9499558,0.050000001,1.1516252,0.15536146,-5.5756345e-22,2.45664,-1.94996,0
83,-0.10772661,7.676567e-20,-6.3566607e-19,-0.00011780463,2.4565017,-1.9999996,0.050000001,1.1479331,0.14859699,-5.1454522e-22,2.456502,-2,0
83,-0.1067441,4.7701331e-20,-4.2690701e-19,-6.0138053e-05,2.5279176,-1.9497977,0.050000001,1.1414102,0.16058357,-3.4701471e-22,2.52792,-1.9498,0
83,-0.10232842,4.8943983e-20,-4.2987692e-19,-0.0001216877,2.5277815,-1.9999992,0.050000001,1.1381742,0.15350477,-3.5663288e-22,2.5277815,-2,0
83,-0.10084406,1.2230618e-19,-8.2655382e-19,-5.5817683e-05,2.5991995,-1.9496392,0.050000001,1.1307753,0.16508922,-5.9859018e-22,2.5992,-1.94964,0
83,-0.096674651,4.2124105e-20,-3.0057882e-19,-0.00010414766,2.599067,-1.9999983,0.050000001,1.1280247,0.15773427,-1.9745288e-22,2.5990674,-2,0
83,-0.094708756,1.6098886e-19,-1.0435967e-18,-5.4489319e-05,2.6704884,-1.9494878,0.050000001,1.1197877,0.16884339,-7.6440506e-22,2.67049,-1.94949,0
83,-0.090800278,9.0656533e-20,-6.436387e-19,-8.986071e-05,2.6703563,-1.9999977,0.050000001,1.1175466,0.1612539,-4.4926737e-22,2.670357,-2,0
83,-0.088378288,-5.8322734e-20,4.0732969e-19,-6.2683772e-05,2.7417717,-1.94934,0.050000001,1.1085179,0.17181964,3.2533396e-22,2.74177,-1.94934,0
83,-0.084741354,6.6467163e-22,1.8434314e-20,-0.00010368457,2.7416449,-2.0000012,0.050000001,1.1068034,0.16403736,5.2483572e-23,2.741643,-2,0
83,-0.081891768,-1.9405839e-19,1.224626e-18,-5.7320256e-05,2.8130591,-1.94919,0.050000001,1.0970254,0.17399843,8.1217297e-22,2.81306,-1.94919,0
83,-0.078534067,-1.2458302e-19,8.3094351e-19,-9.6638374e-05,2.8129358,-1.9999989,0.050000001,1.0958536,0.16606677,5.2912079e-22,2.8129389,-2,0
83,-0.075288251,-6.4159211e-20,4.1221116e-19,-3.210449e-05,2.8843534,-1.9490417,0.050000001,1.0853751,0.17536685,2.6240525e-22,2.8843601,-1.9490401,0
83,-0.072214276,-3.9766191e-20,2.848879e-19,-7.1060393e-05,2.8842294,-1.9999977,0.050000001,1.0847573,0.16732886,1.7659869e-22,2.8842323,-2,0
83,-0.068606362,6.7222319e-20,-4.0027053e-19,-1.5930696e-05,2.9556475,-1.9489,0.050000001,1.0736327,0.175919,-2.4268853e-22,2.9556501,-1.9489,0
83,-0.06581752,8.4320627e-20,-5.3104659e-19,-6.2009974e-05,2.9555271,-1.9999985,0.050000001,1.0735736,0.16781774,-3.2028427e-22,2.9555285,-2,0
83,-0.061882678,3.5899862e-20,-1.9633399e-19,-2.6422427e-05,3.0269477,-1.9487578,0.050000001,1.0618602,0.17565571,-1.0437487e-22,3.0269499,-1.94876,0
