Time,"p","vorticity:0","vorticity:1","vorticity:2","C:0","C:1","C:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
168,-0.11974865,-1.2405846e-20,-2.31005e-19,1.0942642e-05,1.0312799,-1.953396,0.050000001,1.2113276,-0.03950005,-1.9946526e-22,1.03128,-1.95339,0
168,-0.11663549,-4.1324962e-21,3.4825574e-20,-3.3234905e-05,1.0310751,-2.0000012,0.050000001,1.2080613,-0.038275592,3.5432136e-23,1.0310751,-2,0
168,-0.11659615,-7.7109465e-22,3.6555538e-20,-3.5338504e-05,0.99999911,-1.9999996,0.050000001,1.2072417,-0.040423114,3.0986437e-23,1,-2,0
168,-0.11973136,-8.9255809e-21,-2.26743e-19,7.8275224e-07,0.99999887,-1.9534671,0.050000001,1.2104739,-0.04165826,-1.9583621e-22,1,-1.9534646,0
168,-0.11980402,1.2527961e-20,6.7462648e-19,3.2078601e-06,1.1025574,-1.9532275,0.050000001,1.2132975,-0.034483694,5.9155364e-22,1.10256,-1.95323,0
168,-0.11672623,2.1892143e-20,8.1158986e-19,-3.3050019e-05,1.102358,-1.9999987,0.050000001,1.2099438,-0.033251483,7.0449192e-22,1.1023604,-2,0
168,-0.11989076,7.370323e-21,3.3422719e-21,1.4854962e-05,1.1738293,-1.9530575,0.050000001,1.2152948,-0.02933134,7.1940999e-24,1.17383,-1.95306,0
168,-0.11683062,-4.0799222e-21,-3.9198099e-19,-2.8670236e-05,1.1736337,-1.9999986,0.050000001,1.2118307,-0.028095949,-3.3529721e-22,1.1736355,-2,0
168,-0.120018,-1.4760339e-21,5.2267067e-21,2.8655071e-05,1.2450994,-1.9528875,0.050000001,1.2173048,-0.02400415,2.9737725e-24,1.2451,-1.95289,0
168,-0.1169572,-5.3189547e-21,-1.3396993e-19,-2.0561498e-05,1.2449079,-1.9999987,0.050000001,1.2137073,-0.022774821,-1.179047e-22,1.2449107,-2,0
168,-0.12019045,-2.2023181e-21,-2.2420214e-19,4.2972602e-05,1.3163654,-1.9527155,0.050000001,1.2193123,-0.018464273,-2.1109389e-22,1.31637,-1.95272,0
168,-0.11711009,-4.9661638e-21,-2.2011351e-19,-2.0187515e-05,1.3161781,-1.9999954,0.050000001,1.2155584,-0.017254924,-1.9447841e-22,1.3161801,-2,0
168,-0.12040827,-8.4847173e-22,-9.1450007e-19,8.1442253e-05,1.3876271,-1.9525417,0.050000001,1.2212924,-0.012675796,-8.144205e-22,1.38763,-1.95254,0
168,-0.11728869,-9.7699175e-21,-1.180547e-18,-2.9011287e-07,1.3874437,-1.9999989,0.050000001,1.2173607,-0.011504623,-1.0188423e-21,1.3874453,-2,0
168,-0.12066487,-6.1091231e-22,2.2087814e-19,9.1502261e-05,1.4588956,-1.9523662,0.050000001,1.2232072,-0.006605288,2.036696e-22,1.4589,-1.95237,0
168,-0.11748786,-1.5470041e-21,8.3710872e-20,1.7799635e-05,1.4587139,-1.9999983,0.050000001,1.2190793,-0.0054955762,8.2540561e-23,1.4587147,-2,0
168,-0.12094866,-8.1292653e-21,4.6110511e-19,0.00011130439,1.5301577,-1.9521855,0.050000001,1.2250223,-0.00022509515,3.971663e-22,1.53016,-1.95219,0
168,-0.11769643,8.1448068e-22,3.2240998e-19,3.0996773e-05,1.5299799,-1.9999979,0.050000001,1.2206812,0.00079614623,2.84386e-22,1.5299799,-2,0
168,-0.12124292,6.960115e-22,-4.4972848e-19,0.00014169929,1.6014173,-1.9520078,0.050000001,1.2266923,0.0064875009,-4.1520395e-22,1.60142,-1.95201,0
168,-0.11789981,1.7480316e-21,-4.4730371e-19,3.9848372e-05,1.601244,-1.9999987,0.050000001,1.2221261,0.007389334,-3.9692227e-22,1.6012454,-2,0
168,-0.12152619,1.7480551e-20,-1.1486613e-18,0.00017290507,1.6726795,-1.9518298,0.050000001,1.2281649,0.013548097,-1.0069143e-21,1.67268,-1.95183,0
168,-0.11807861,1.2545516e-20,-8.7447828e-19,4.2775169e-05,1.672509,-1.9999996,0.050000001,1.223366,0.014296294,-7.6714317e-22,1.6725107,-2,0
168,-0.121773,-1.6034371e-20,4.4583629e-19,0.00018006831,1.7439417,-1.9516516,0.050000001,1.2293799,0.020964388,3.9915859e-22,1.74394,-1.95165,0
168,-0.11821027,-1.352563e-20,5.8228211e-19,4.5321092e-05,1.7437754,-2.0000005,0.050000001,1.2243453,0.02152219,5.0936595e-22,1.7437762,-2,0
168,-0.12195386,-2.6422677e-20,9.1921655e-19,0.00017855709,1.8152076,-1.9514782,0.050000001,1.2302823,0.028735336,7.9286135e-22,1.81521,-1.95148,0
168,-0.11826896,-2.5435259e-20,1.0588841e-18,4.6327641e-05,1.8150445,-1.9999992,0.050000001,1.2250155,0.029064106,9.0051322e-22,1.8150456,-2,0
168,-0.12203771,2.1629145e-20,-6.7996304e-19,0.00020590489,1.8864694,-1.9512995,0.050000001,1.2308099,0.036849495,-6.1237412e-22,1.88647,-1.9513,0
168,-0.11822625,2.0343648e-20,-8.1447698e-19,5.9923339e-05,1.8863091,-1.9999994,0.050000001,1.2253212,0.036910206,-7.1763159e-22,1.8863112,-2,0
